state_id,village_id,state,district_id,district,village_name,hhid,household_latitude,household_longitude,age,birthyy,birthyy_99,household_count,age_mem1,sex_mem1,rel_mem1,std_mem1,pass_mem1,age_mem2,sex_mem2,rel_mem2,std_mem2,pass_mem2,age_mem3,sex_mem3,rel_mem3,std_mem3,pass_mem3,age_mem4,sex_mem4,rel_mem4,std_mem4,pass_mem4,age_mem5,sex_mem5,rel_mem5,std_mem5,pass_mem5,age_mem6,sex_mem6,rel_mem6,std_mem6,pass_mem6,age_mem7,sex_mem7,rel_mem7,std_mem7,pass_mem7,age_mem8,sex_mem8,rel_mem8,std_mem8,pass_mem8,age_mem9,sex_mem9,rel_mem9,std_mem9,pass_mem9,age_mem10,sex_mem10,rel_mem10,std_mem10,pass_mem10,age_mem11,sex_mem11,rel_mem11,std_mem11,pass_mem11,age_mem12,sex_mem12,rel_mem12,std_mem12,pass_mem12,age_mem13,sex_mem13,rel_mem13,std_mem13,pass_mem13,age_mem14,sex_mem14,rel_mem14,std_mem14,pass_mem14,age_mem15,sex_mem15,rel_mem15,std_mem15,pass_mem15,age_mem16,sex_mem16,rel_mem16,std_mem16,pass_mem16,age_mem17,sex_mem17,rel_mem17,std_mem17,pass_mem17,age_mem18,sex_mem18,rel_mem18,std_mem18,pass_mem18,age_mem19,sex_mem19,rel_mem19,std_mem19,pass_mem19,age_mem20,sex_mem20,rel_mem20,std_mem20,pass_mem20,age_mem21,sex_mem21,rel_mem21,std_mem21,pass_mem21,age_mem22,sex_mem22,rel_mem22,std_mem22,pass_mem22,age_mem23,age_mem24,age_mem25,age_mem26,age_mem27,age_mem28,age_mem29,age_mem30,age_mem31,age_mem32,age_mem33,age_mem36,age_mem40,sex_mem23,sex_mem24,sex_mem25,sex_mem26,sex_mem27,sex_mem28,sex_mem29,sex_mem30,sex_mem31,sex_mem32,sex_mem33,sex_mem36,sex_mem40,rel_mem23,rel_mem24,rel_mem25,rel_mem26,rel_mem27,rel_mem28,rel_mem29,rel_mem30,rel_mem31,rel_mem32,rel_mem33,rel_mem36,rel_mem40,std_mem23,std_mem24,std_mem25,std_mem26,std_mem27,std_mem28,std_mem29,std_mem30,std_mem31,std_mem32,std_mem33,std_mem36,std_mem40,pass_mem23,pass_mem24,pass_mem25,pass_mem26,pass_mem27,pass_mem28,pass_mem29,pass_mem30,pass_mem31,pass_mem32,pass_mem33,pass_mem36,pass_mem40,minc_no,minc_farm,minc_animal,minc_labor,minc_cons,minc_self,minc_rent,minc_govt,minc_tch,minc_tchpvt,minc_ttn,minc_pnsn,minc_shop,minc_army,minc_othself,minc_dead,minc_out,minc_oth,minc_refuse,minc_pri,minc_reg,minc_month,finc_no,finc_farm,finc_animal,finc_labor,finc_cons,finc_self,finc_rent,finc_govt,finc_tch,finc_tchpvt,finc_ttn,finc_pnsn,finc_shop,finc_army,finc_othself,finc_dead,finc_out,finc_oth,finc_refuse,finc_pri,finc_reg,finc_month,npinc_no,npinc_farm,npinc_animal,npinc_labor,npinc_cons,npinc_self,npinc_rent,npinc_govt,npinc_tch,npinc_tchpvt,npinc_ttn,npinc_pnsn,npinc_shop,npinc_army,npinc_othself,npinc_oth,npinc_refuse,npinc_out,mot_save,fath_save,child_save,oth_save,no_save,mot_loan,fath_loan,child_loan,oth_loan,no_loan,own_land,land_hectare,land_acre,land_bigha,land_kattha,land_oth_unit,land_oth_unit_spec,land_dontknw,self_till,hire_labor,hired_lab,rent_out,agnst_adv,left_fallow,other,land_refuse,rent_land_hectare,rent_land_acre,rent_land_bigha,rent_land_kattha,oth_land_irri,rent_land_dntknw,land_irrigated,unit_irrigated,eng_farm,farm_own,farm_family,farm_rent,farm_advance,farm_else,farm_refuse,tot_hectare,tot_acre,tot_bigha,tot_kattha,no_rent_land,land_other,land_other_spec,land_dntknw,no_land,amt_land_rent,often_rent,child_reap,child_work,livestock,anml_cow,anml_ox_bull,anml_horse,anml_sheep_goat,anml_hen_duck,anml__oth,animal_belong,live_alwys,fam_live_yy,city_move,fath_emp,moth_emp,mig1_hh_mem,mig1_week,mig1_month,mig1_year,mig1_agri,mig1_mason,mig1_cons,mig1_trade,mig1_stitch,mig1_oth,mig2_hh_mem,mig2_week,mig2_month,mig2_year,mig2_agri,mig2_mason,mig2_cons,mig2_trade,mig2_stitch,mig2_oth,mig3_hh_mem,mig3_week,mig3_month,mig3_year,mig3_agri,mig3_mason,mig3_cons,mig3_trade,mig3_stitch,mig3_oth,mig4_hh_mem,mig4_week,mig4_month,mig4_year,mig4_agri,mig4_mason,mig4_cons,mig4_trade,mig4_stitch,mig4_oth,mig5_hh_mem,mig5_week,mig5_month,mig5_year,mig5_agri,mig5_mason,mig5_cons,mig5_trade,mig5_stitch,mig5_oth,mig6_hh_mem,mig6_month,mig6_week,mig6_year,mig6_agri,mig6_mason,mig6_cons,mig6_trade,mig6_stitch,mig6_oth,mig1_refuse,mig2_refuse,mig3_refuse,mig4_refuse,mig5_refuse,mig6_refuse,house_belong,rooms,room_sleep,sep_cook,fuel_elect,fuel_natural_gas,fuel_biogas,fuel_kerosene,fuel_coal,fuel_charcoal,fuel_wood,dried_leaves,fuel_oth,fuel_refuse,tap,handpump,cover_well,open_well,share_tap,share_handpump,share_cover_well,share_open_well,comm_tap,comm_handpump,comm_cover_well,comm_open_well,neigh_tap,neigh_handpump,neigh_cover_well,neigh_open_well,river,drink_oth,drink_refuse,toilet,toilet_water,toilet_flush,toilet_sewer,toilet_pit,toilet_tank,temp_latrine,hang_latrine,toilet_oth,fac_pen,fac_child_book,fac_newspaper,fac_radio,fac_mobile,fac_telephone,fac_furniture,fac_clock,fac_horse_cart,fac_cycle,fac_scooter,fac_vehicle,fac_electricity,fac_generator,fac_fan,fac_television,fac_fridge,fac_oth,roof_leaves,roof_bramble,roof_thatched,roof_mud_tiles,roof_metal,roof_wood,roof_cement,roof_oth,wall_bamboo,wall_mud,wall_bamboo_mud,wall_stone_mud,wall_roof_wood,wall_cardboard,wall_reused_wood,wall_cement,wall_stone,wall_cement_brick,wall_brick_mortar,wall_mat_oth,pri_govt_sch,dist_sch,unit_dist,min_dist,no_govtsch,travel_sch,pvt_sch,starttime,duration,endtime,submissiondate,KEY,team_id,enum_id,enum_name,_merge
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-005,26.080641,83.396065,,,,7,60,Female,Respondent,Never been in school,Not applicable,65,Male,Husband or wife,Standard 9,Yes,22,Male,Son or daughter,Standard 9,No,20,Female,Father-in-law or mother-in-law,Never been in school,Not applicable,,,,,,25,Male,Son or daughter,Standard 8,Yes,22,Female,Son-in-law or daughter-in-law,Never been in school,Not applicable,2,Female,Grand-daughter or grand-son,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,uuid:3cf6sm07-696h-844t-75b6-v03212ji601e,5,51,Kailash Khosla,Matched (3)
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-050,26.224424,83.401016,45,,99,5,45,Female,Respondent,Never been in school,Not applicable,46,Male,Husband or wife,Standard 10,No,15,Female,Son or daughter,Standard 9,Yes,14,Female,Son or daughter,Standard 8,Yes,10,Female,Son or daughter,Standard 4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,Farming,Other,3-6 months,,1,1,,,,,,,,,,1,,,,,,,Businessman/Trader/shopkeeper,Daily wages,0-2 months,1,,,,,,,,,,,,,,,,,No,1,1,,,,,1,,,,Yes,,,,6,,,,1,,,,,,,,,,,6,,,0,Bigha,Yes,1,,1,,,,,,,2,,,,,,50,Percent of crop profit,Yes,Yes,Yes,1,,,,,,Yes,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1,No,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,1,1,,1,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,Yes,1,Kilometres,15,,Foot,1,,4622,,,uuid:1va6xe56-933p-797o-47v1-j18754mu468g,4,41,Darshana Mallick,Matched (3)
GJ,GJ011,Gujarat,GJ011,Rajkot,Gondal,GJ011-001,21.93874,70.782356,40,,99,8,40,Female,Respondent,Never been in school,Not applicable,45,Male,Husband or wife,Standard 4,Yes,15,Female,Son or daughter,Standard 5,Yes,12,Female,Son or daughter,Standard 4,Yes,9,Female,Son or daughter,Standard 2,Yes,7,Male,Son or daughter,Standard 1,Yes,5,Male,Son or daughter,Never been in school,Not applicable,2,Male,Son or daughter,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,Farming,Other,7-12 months,1,,,,,,,,,,,,,,,,,No,,,,,1,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1,,1,,,,,10,,,,,,16,Weight of Product (quintal),No,,Yes,,1,,,,,No,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2,Yes,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,No,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,Yes,1,Kilometres,30,,Foot,2,,7060,,,uuid:8if6oa14-493n-241z-58b8-s14712kz551o,2,21,Anima Halder,Matched (3)
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-067,26.116543,83.340355,35,,99,6,35,Female,Respondent,Never been in school,Not applicable,40,Male,Husband or wife,Standard 6,Yes,15,Male,Son or daughter,Standard 9,No,12,Male,Son or daughter,Standard 5,No,8,Male,Son or daughter,Standard 3,No,6,Male,Son or daughter,Standard 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,1,,1,,,,,,,,,,,,,,,Farming,Other,7-12 months,1,,,,,,,,,,,,,,,,,No,,,,,1,,1,,,,Yes,,,,10,,,,,1,,,,,,,,,,10,,,,,Yes,1,,1,,,,,,,15,,,,,,50,Percent of crop profit,Yes,Yes,Yes,1,2,,5,,,Yes,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2,Yes,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,1,1,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,Yes,1,Kilometres,20,,Foot,2,,5701,,,uuid:9yh3ct14-156f-503w-55e5-g07740ui483v,4,43,Kiran Pillay,Matched (3)
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-030,26.138643,83.365257,30,,99,4,30,Female,Respondent,Never been in school,Not applicable,35,Male,Husband or wife,Never been in school,Not applicable,10,Female,Son or daughter,Standard 3,No,7,Female,Son or daughter,Standard 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,1,,1,1,,,,,,,,,,,,,,,Labor on someone else's field,Monthly,7-12 months,1,,,,,,,,,,,,,,,,,No,,,,,1,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1,,1,,,,,6,,,,,,50,Percent of crop profit,No,,Yes,2,1,,,,,Yes,1,,,"Yes, in the last 2 years",No,Only Father,0,6,,1,,,,,,Only Father,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,1,No,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,No,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,Yes,500,Metres,15,,Foot,2,,5432,,,uuid:7as6sm64-770u-974c-10i6-d21575dg547k,4,45,Kajal Ramachandran,Matched (3)
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-013,14.518508,77.106468,28,,99,8,28,Female,Respondent,Never been in school,Not applicable,35,Male,Husband or wife,Standard 2,Yes,11,Male,Son or daughter,Standard 5,Yes,8,Male,Son or daughter,Standard 1,Yes,6,Female,Son or daughter,Standard 1,Yes,3,Male,Son or daughter,Never been in school,Not applicable,2,Male,Son or daughter,Never been in school,Not applicable,0,Female,Son or daughter,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,,1,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,1,,,,,,,,,,,,,,,,,No,,,,,1,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,1,,1,,,,,5,,,,,,50,Percent of crop profit,No,,No,,,,,,,,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2,No,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,Yes,1,Metres,20,,Foot,2,,3512,,,uuid:9vs9si82-246t-276g-90h5-n83848dm196o,1,11,Adnan Thakkar,Matched (3)
GJ,GJ011,Gujarat,GJ011,Rajkot,Gondal,GJ011-008,21.922159,70.807777,35,,99,8,55,Female,Father or mother,Never been in school,Not applicable,60,Male,Father or mother,Never been in school,Not applicable,35,Male,Respondent,Standard 9,Yes,18,Male,Brother or sister,Standard 11,Yes,12,Male,Brother or sister,Standard 7,Yes,8,Female,Brother or sister,Standard 3,Yes,30,Female,Husband or wife,Never been in school,Not applicable,2,Male,Son or daughter,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,1,,1,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,,,,,,,,,,,,,,,,No,,1,,,,,,,,1,Yes,,,2,,,,,,1,,,,,,,,,2,,,,,,Yes,1,,,,,,,,,,95,,,,,,,Yes,Yes,Yes,2,,,2,,,Yes,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,4,Yes,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,Yes,No,,,,,1,,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,Yes,2,Kilometres,20,,Foot,2,,3442,,,uuid:8ed1zg75-283d-226i-28i4-v20273el077n,2,22,Aravind Mandal,Matched (3)
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-032,27.364384,78.190163,35,,99,8,45,Female,Respondent,Never been in school,Not applicable,50,Male,Husband or wife,Never been in school,Not applicable,,,,,,20,Male,Son or daughter,Never been in school,Not applicable,16,Male,Son or daughter,Standard 3,Yes,15,Male,Son or daughter,Standard 6,No,11,Male,Son or daughter,Standard 6,No,8,Female,Son or daughter,Standard 3,Yes,6,Male,Son or daughter,Standard 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,Selfemployed in handicrafts or handloom,Weekly,3-6 months,,1,,1,,1,,,,,,,,,,,,,,Selfemployed in handicrafts or handloom,Weekly,3-6 months,,,,1,1,,,,,,,,,,,,,No,,1,,,,,1,,,,Yes,,,,5,,,,,1,,,,,,,,,,5,,,,,Yes,1,,1,,1,,,,,4,,,,,,4400,Yearly,Yes,Yes,Yes,1,,,2,5,,No,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2,No,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,No,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,Yes,500,Metres,10,,Foot,2,,4829,,,uuid:1wi6ia21-016j-316n-59s6-u06555hb618e,4,45,Kajal Ramachandran,Matched (3)
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-027,27.399389,78.18177,31,,99,7,31,Female,Respondent,Never been in school,Not applicable,35,Male,Husband or wife,Never been in school,Not applicable,16,Male,Son or daughter,Never been in school,Not applicable,7,Male,Son or daughter,Never been in school,Not applicable,4,Male,Son or daughter,Never been in school,Not applicable,11,Female,Son or daughter,Never been in school,Not applicable,8,Female,Son or daughter,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,,,,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Monthly,7-12 months,,,,,1,,,,,,,,,,,,,Yes,,,,,1,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,,,,,,95,,,,,,,No,,Yes,,,,1,2,,No,,6,"Yes, in a village",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,1,No,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,Yes,400,Metres,3,,,2,,5036,,,uuid:3fi1vt89-987s-356x-30s1-x82135dz528n,4,45,Kajal Ramachandran,Matched (3)
AN,AN043,Anantapur,AN043,Uravakonda,Kothacheruvu,AN043-004,14.987966,77.117577,30,,99,6,30,Female,Respondent,Never been in school,Not applicable,60,Female,Father-in-law or mother-in-law,Never been in school,Not applicable,35,Male,Husband or wife,Never been in school,Not applicable,7,Male,Son or daughter,Standard 3,No,3,Male,Son or daughter,Anganwadi,Not applicable,2,Male,Son or daughter,Never been in school,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,1,,,,,,,,,,,,,,,,,No,1,,,,,,,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,,,,,,95,,,,,,,No,,No,,,,,,,,1,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2,No,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,Yes,20,Metres,2,,Foot,1,,5708,,,uuid:5sh9zk51-122o-075h-63t6-a49601fe265v,1,14,Shanta More,Matched (3)
